RegionCODE,GovCODE,Governorate,TypeOfShelter,TypeOfAccess,Condition,Crowded,HouseholdSize,Household
1,1701,Ajloun,Basement,N/A,N/A,No,1 Ind,328
1,1701,Ajloun,Basement,N/A,N/A,No,2 Ind,130
1,1701,Ajloun,Basement,N/A,N/A,No,3 Ind,104
1,1701,Ajloun,Basement,N/A,N/A,No,4 Ind,118
1,1701,Ajloun,Basement,N/A,N/A,No,5 Ind,111
1,1701,Ajloun,Basement,N/A,N/A,No,6 Ind,53
1,1701,Ajloun,Basement,N/A,N/A,No,7 Ind,31
1,1701,Ajloun,Basement,N/A,N/A,No,8 Ind,19
1,1701,Ajloun,Basement,N/A,N/A,No,9 Ind,8
1,1701,Ajloun,Basement,N/A,N/A,No,10  Ind,4
1,1701,Ajloun,Basement,N/A,N/A,Yes,1 Ind,1
1,1701,Ajloun,Basement,N/A,N/A,Yes,2 Ind,2
1,1701,Ajloun,Basement,Free,2-Adequate/standard,No,5 Ind,1
1,1701,Ajloun,Basement,Free,3-Inadequate/sub-standard,No,2 Ind,1
1,1701,Ajloun,Basement,Other,3-Inadequate/sub-standard,No,4 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,1 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,2 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,3 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,4 Ind,4
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,5 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,6 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,No,7 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,2-Adequate/standard,Yes,3 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,4-Emergency,No,1 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,1 Ind,6
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,3 Ind,2
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,4 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,5 Ind,4
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,6 Ind,3
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,No,8 Ind,1
1,1701,Ajloun,Basement,Rent/Lease,3-Inadequate/sub-standard,Yes,7 Ind,1
1,1701,Ajloun,Communal Centre,Free,2-Adequate/standard,No,1 Ind,1
1,1701,Ajloun,Communal Centre,Free,2-Adequate/standard,No,3 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,2-Adequate/standard,No,1 Ind,2
1,1701,Ajloun,Communal Centre,Rent/Lease,2-Adequate/standard,No,2 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,1 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Communal Centre,Rent/Lease,3-Inadequate/sub-standard,Yes,9 Ind,1
1,1701,Ajloun,Flat/Apartment,N/A,2-Adequate/standard,No,1 Ind,3
1,1701,Ajloun,Flat/Apartment,N/A,2-Adequate/standard,No,2 Ind,1
1,1701,Ajloun,Flat/Apartment,N/A,2-Adequate/standard,No,4 Ind,1
1,1701,Ajloun,Flat/Apartment,N/A,2-Adequate/standard,No,5 Ind,2
1,1701,Ajloun,Flat/Apartment,N/A,3-Inadequate/sub-standard,No,1 Ind,1
1,1701,Ajloun,Flat/Apartment,N/A,3-Inadequate/sub-standard,No,3 Ind,1
1,1701,Ajloun,Flat/Apartment,N/A,3-Inadequate/sub-standard,No,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,1 Ind,20
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,2 Ind,13
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,3 Ind,4
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,4 Ind,8
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,5 Ind,4
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,6 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,No,7 Ind,2
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,Yes,1 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,Yes,2 Ind,3
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,Yes,3 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,2-Adequate/standard,Yes,4 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,4-Emergency,Yes,4 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,1 Ind,18
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,2 Ind,10
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,3 Ind,3
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,4 Ind,6
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,5 Ind,2
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,6 Ind,4
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,1 Ind,3
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,2 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,3 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,6 Ind,2
1,1701,Ajloun,Flat/Apartment,Free,3-Inadequate/sub-standard,Yes,10  Ind,1
1,1701,Ajloun,Flat/Apartment,Other,2-Adequate/standard,No,1 Ind,2
1,1701,Ajloun,Flat/Apartment,Other,2-Adequate/standard,No,2 Ind,2
1,1701,Ajloun,Flat/Apartment,Other,2-Adequate/standard,No,4 Ind,1
1,1701,Ajloun,Flat/Apartment,Other,3-Inadequate/sub-standard,No,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Other,3-Inadequate/sub-standard,No,7 Ind,1
1,1701,Ajloun,Flat/Apartment,Owned,2-Adequate/standard,No,6 Ind,1
1,1701,Ajloun,Flat/Apartment,Owned,2-Adequate/standard,Yes,6 Ind,1
1,1701,Ajloun,Flat/Apartment,Owned,3-Inadequate/sub-standard,No,3 Ind,1
1,1701,Ajloun,Flat/Apartment,Owned,3-Inadequate/sub-standard,No,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Owned,3-Inadequate/sub-standard,Yes,9 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,N/A,No,2 Ind,2
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,No,1 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,No,3 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,1-Above standard,No,5 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,1 Ind,313
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,2 Ind,101
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,3 Ind,125
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,4 Ind,155
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,5 Ind,137
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,6 Ind,98
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,7 Ind,60
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,8 Ind,31
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,9 Ind,12
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,No,10  Ind,4
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,1 Ind,8
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,2 Ind,4
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,3 Ind,3
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,4 Ind,2
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,5 Ind,8
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,6 Ind,4
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,7 Ind,2
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,8 Ind,1
1,1701,Ajloun,Flat/Apartment,Rent/Lease,2-Adequate/standard,Yes,9 Ind,1
